customerID,ChurnStatus,Churn,gender,SeniorCitizenLabel,Partner,Dependents,tenure,TenureGroup,Contract,PaymentMethod,PaperlessBilling,InternetService,PhoneService,MonthlyCharges,ChargesBand,TotalCharges,CLV,RuleBasedRisk,SeniorCitizen,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ChurnLabel
7590-VHVEG,Active,0,Female,No,Yes,No,1,0–12 months,Month-to-month,Electronic check,Yes,DSL,No,29.85,Low (<$35),29.85,29.85,High Risk,0,No,No,Yes,No,No,No,No,No
5575-GNVDE,Active,0,Male,No,No,No,34,25–48 months,One year,Mailed check,No,DSL,Yes,56.95,Medium ($35–65),1889.5,1936.3,Low Risk,0,No,Yes,No,Yes,No,No,No,No
3668-QPYBK,Churned,1,Male,No,No,No,2,0–12 months,Month-to-month,Mailed check,Yes,DSL,Yes,53.85,Medium ($35–65),108.15,107.7,High Risk,0,No,Yes,Yes,No,No,No,No,Yes
7795-CFOCW,Active,0,Male,No,No,No,45,25–48 months,One year,Bank transfer (automatic),No,DSL,No,42.3,Medium ($35–65),1840.75,1903.5,Low Risk,0,No,Yes,No,Yes,Yes,No,No,No
9237-HQITU,Churned,1,Female,No,No,No,2,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,70.7,High ($65–95),151.65,141.4,High Risk,0,No,No,No,No,No,No,No,Yes
9305-CDSKC,Churned,1,Female,No,No,No,8,0–12 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,99.65,Premium (>$95),820.5,797.2,High Risk,0,Yes,No,No,Yes,No,Yes,Yes,Yes
1452-KIOVK,Active,0,Male,No,No,Yes,22,13–24 months,Month-to-month,Credit card (automatic),Yes,Fiber optic,Yes,89.1,High ($65–95),1949.4,1960.2,Medium Risk,0,Yes,No,Yes,No,No,Yes,No,No
6713-OKOMC,Active,0,Female,No,No,No,10,0–12 months,Month-to-month,Mailed check,No,DSL,No,29.75,Low (<$35),301.9,297.5,High Risk,0,No,Yes,No,No,No,No,No,No
7892-POOKP,Churned,1,Female,No,Yes,No,28,25–48 months,Month-to-month,Electronic check,Yes,Fiber optic,Yes,104.8,Premium (>$95),3046.05,2934.4,Low Risk,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes
6388-TABGU,Active,0,Male,No,No,Yes,62,49–72 months,One year,Bank transfer (automatic),No,DSL,Yes,56.15,Medium ($35–65),3487.95,3481.3,Low Risk,0,No,Yes,Yes,No,No,No,No,No
